Подвыборка,β₁ (segment1),β₁ p-value,β₂ (segment2),β₂ p-value,Wald тест (β₂≠β₁),Wald p-value
1-3,0.4682,0.0,-0.6586,0.0,80.6476,0.0
4-6,0.5214,0.0,-0.6654,0.0,93.0833,0.0
